Book Name,Author,Average Rating,Number of Ratings,Score on Goodreads
Dracula,Bram Stoker,4.01,1276133,1778.0
"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding (Goodreads Author),3.8,983414,1755.0
"Three Men in a Boat (Three Men, #1)",Jerome K. Jerome,3.84,72705,1697.0
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.73,372248,1690.0
"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,4.27,274742,1687.0
Jonathan Strange & Mr. Norrell,Susanna Clarke,3.86,236504,1576.0
The Prime of Miss Jean Brodie,Muriel Spark,3.71,54774,1566.0
The Three Musketeers,Alexandre Dumas,4.09,322705,1546.0
The War of the Worlds,H.G. Wells,3.83,314362,1503.0
"Moby-Dick or, The Whale",Herman Melville,3.54,561178,1501.0
Invisible Man,Ralph Ellison,3.91,187981,1495.0
A Tree Grows in Brooklyn,Betty  Smith,4.29,465960,1487.0
Flowers for Algernon,Daniel Keyes,4.21,672225,1464.0
Treasure Island,Robert Louis Stevenson,3.84,489666,1456.0
The Scarlet Pimpernel,Emmuska Orczy,4.07,135482,1425.0
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,4.01,317620,1391.0
The Heart Is a Lonely Hunter,Carson McCullers,3.99,110269,1390.0
A Prayer for Owen Meany,John Irving (Goodreads Author),4.24,321041,1373.0
North and South,Elizabeth Gaskell,4.15,170075,1325.0
Beloved,Toni Morrison,3.95,435894,1306.0
Stranger in a Strange Land,Robert A. Heinlein,3.92,312809,1276.0
Tess of the D’Urbervilles,Thomas Hardy,3.83,283730,1260.0
"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,3.9,157105,1247.0
Les Liaisons dangereuses,Pierre Choderlos de Laclos,4.06,53359,1245.0
The God of Small Things,Arundhati Roy (Goodreads Author),3.95,298251,1230.0
The Blind Assassin,Margaret Atwood (Goodreads Author),3.96,155551,1227.0
Breakfast at Tiffany’s and Three Stories,Truman Capote,3.85,264966,1201.0
Fathers and Sons,Ivan Turgenev,3.99,89534,1197.0
A Passage to India,E.M. Forster,3.68,80396,1181.0
I Capture the Castle,Dodie Smith,4.0,104443,1166.0
Possession,A.S. Byatt,3.89,80243,1165.0
"Tinker, Tailor, Soldier, Spy",John le Carré,4.06,94614,1152.0
Middlemarch,George Eliot,4.02,163041,1140.0
Black Beauty,Anna Sewell,3.99,278536,1125.0
Schindler's Ark,Thomas Keneally,4.34,160251,1120.0
"American Gods (American Gods, #1)",Neil Gaiman (Goodreads Author),4.11,925922,1113.0
The Wind-Up Bird Chronicle,Haruki Murakami,4.15,283709,1104.0
Foucault’s Pendulum,Umberto Eco,3.91,70097,1097.0
The End of the Affair,Graham Greene,3.9,64576,1093.0
For Whom the Bell Tolls,Ernest Hemingway,3.98,293747,1086.0
"The Sword in the Stone (The Once and Future King, #1)",T.H. White,3.89,26602,1078.0
The Thin Man,Dashiell Hammett,3.91,35303,1075.0
"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,3.95,155485,1072.0
Jude the Obscure,Thomas Hardy,3.83,71846,1065.0
"Through the Looking-Glass and What Alice Found There (Alice's Adventures in Wonderland, #2)",Lewis Carroll,4.02,135450,1052.0
"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,3.98,109633,1051.0
"The Daughter of Time (Inspector Alan Grant, #5)",Josephine Tey,3.91,34152,1036.0
To the Lighthouse,Virginia Woolf,3.8,183573,1027.0
Childhood’s End,Arthur C. Clarke,4.12,159538,1027.0
The Leopard,Giuseppe Tomasi di Lampedusa,4.01,37270,1016.0
"My Family and Other Animals (Corfu Trilogy, #1)",Gerald Durrell,4.17,55854,1007.0
Fight Club,Chuck Palahniuk (Goodreads Author),4.19,592100,992.0
A Thousand Splendid Suns,Khaled Hosseini (Goodreads Author),4.43,1530997,975.0
Hunger,Knut Hamsun,4.05,56030,975.0
A Portrait of the Artist as a Young Man,James Joyce,3.64,151992,970.0
Memoirs of a Geisha,Arthur Golden,4.15,2001971,965.0
Our Man in Havana,Graham Greene,3.94,36115,954.0
Cold Comfort Farm,Stella Gibbons,3.89,50600,942.0
Their Eyes Were Watching God,Zora Neale Hurston,3.98,347535,931.0
The Tin Drum,Günter Grass,3.95,44089,928.0
If on a Winter's Night a Traveler,Italo Calvino,4.03,98040,923.0
The Complete Maus,Art Spiegelman,4.57,220493,917.0
My Name Is Red,Orhan Pamuk,3.87,56481,908.0
Portnoy’s Complaint,Philip Roth,3.71,68434,906.0
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,3.78,230493,904.0
"Cry, the Beloved Country",Alan Paton,3.92,74823,891.0
The Wasp Factory,Iain Banks,3.77,96941,891.0
Snow Crash,Neal Stephenson (Goodreads Author),4.02,280235,890.0
Brighton Rock,Graham Greene,3.7,32124,884.0
Dead Souls,Nikolai Gogol,3.98,85069,879.0
